Date,Open,High,Low,Close,Adj Close,Volume,Name
03-01-17,28.95,29.08,28.69,29.04,27.06,115127600,AAPL
04-01-17,28.96,29.13,28.94,29,27.03,84472400,AAPL
05-01-17,28.98,29.22,28.95,29.15,27.17,88774400,AAPL
06-01-17,29.2,29.54,29.12,29.48,27.47,127007600,AAPL
09-01-17,29.49,29.86,29.49,29.75,27.72,134247600,AAPL
10-01-17,29.69,29.84,29.58,29.78,27.75,97848400,AAPL
11-01-17,29.68,29.98,29.65,29.94,27.9,110354400,AAPL
12-01-17,29.72,29.83,29.55,29.81,27.78,108344800,AAPL
13-01-17,29.78,29.91,29.7,29.76,27.73,104447600,AAPL
17-01-17,29.58,30.06,29.56,30,27.96,137759200,AAPL
18-01-17,30,30.12,29.93,30,27.95,94852000,AAPL
19-01-17,29.85,30.02,29.84,29.94,27.9,102389200,AAPL
20-01-17,30.11,30.11,29.93,30,27.96,130391600,AAPL
23-01-17,30,30.2,29.94,30.02,27.97,88200800,AAPL
24-01-17,29.89,30.02,29.88,29.99,27.95,92844000,AAPL
25-01-17,30.1,30.52,30.07,30.47,28.39,129510400,AAPL
26-01-17,30.42,30.61,30.4,30.49,28.41,105350400,AAPL
27-01-17,30.54,30.59,30.4,30.49,28.41,82251600,AAPL
30-01-17,30.23,30.41,30.17,30.41,28.34,121510000,AAPL
31-01-17,30.29,30.35,30.16,30.34,28.27,196804000,AAPL
01-02-17,31.76,32.62,31.75,32.19,29.99,447940000,AAPL
02-02-17,32,32.35,31.94,32.13,29.94,134841600,AAPL
03-02-17,32.08,32.3,32.04,32.27,30.07,98029200,AAPL
06-02-17,32.28,32.62,32.22,32.57,30.35,107383600,AAPL
07-02-17,32.63,33.02,32.61,32.88,30.64,152735200,AAPL
08-02-17,32.84,33.06,32.8,33.01,30.76,92016400,AAPL
09-02-17,32.91,33.11,32.78,33.1,30.98,113399600,AAPL
10-02-17,33.12,33.24,33.01,33.03,30.91,80262000,AAPL
13-02-17,33.27,33.46,33.19,33.32,31.19,92141600,AAPL
14-02-17,33.37,33.77,33.31,33.76,31.59,132904800,AAPL
15-02-17,33.88,34.07,33.65,33.88,31.71,142492400,AAPL
16-02-17,33.92,33.97,33.71,33.84,31.67,90338400,AAPL
17-02-17,33.78,33.96,33.78,33.93,31.76,88792800,AAPL
21-02-17,34.06,34.19,33.99,34.17,31.98,98028800,AAPL
22-02-17,34.11,34.28,34.03,34.28,32.08,83347600,AAPL
23-02-17,34.35,34.37,34.08,34.13,31.95,83152800,AAPL
24-02-17,33.98,34.17,33.82,34.17,31.98,87106400,AAPL
27-02-17,34.28,34.36,34.07,34.23,32.04,81029600,AAPL
28-02-17,34.27,34.36,34.17,34.25,32.05,93931600,AAPL
01-03-17,34.47,35.04,34.4,34.95,32.71,145658400,AAPL
02-03-17,35,35.07,34.69,34.74,32.51,104844000,AAPL
03-03-17,34.7,34.96,34.65,34.94,32.71,84432400,AAPL
06-03-17,34.84,34.94,34.65,34.83,32.6,87000000,AAPL
07-03-17,34.76,34.99,34.7,34.88,32.64,69785200,AAPL
08-03-17,34.74,34.95,34.71,34.75,32.52,74828800,AAPL
09-03-17,34.69,34.7,34.26,34.67,32.45,88623600,AAPL
10-03-17,34.81,34.84,34.66,34.78,32.56,78451200,AAPL
13-03-17,34.71,34.86,34.71,34.8,32.57,69686800,AAPL
14-03-17,34.83,34.91,34.71,34.75,32.52,61236400,AAPL
